source,storefront,platform,title,price_usd,original_price_usd,discount_pct,product_url,release_date,review_score,genres,tags
gog,GOG,PC,Diluvian Winds: Prologue,0.0,0.0,0.0,https://www.gog.com/en/game/diluvian_winds_prologue,2022-09-21,,"Role-playing, Simulation",
gog,GOG,PC,Diluvion: Resubmerged,1.99,19.99,90.0,https://www.gog.com/en/game/diluvion,2017-02-02,31.0,"Action, Role-playing, Sci-fi",
gog,GOG,PC,Diluvion: Resubmerged Fleet Edition Upgrade,0.79,7.99,90.0,https://www.gog.com/en/game/diluvion_fleet_edition_upgrade,2017-02-02,41.0,"Action, Role-playing, Sci-fi",
gog,GOG,PC,Din's Curse,2.49,9.99,75.0,https://www.gog.com/en/game/dins_curse,2010-03-31,41.0,"Action, Role-playing, Fantasy",
gog,GOG,PC,Din's Curse: Demon War,1.24,4.99,75.0,https://www.gog.com/en/game/dins_curse_demon_war,2011-02-22,40.0,"Action, Role-playing, Fantasy",
gog,GOG,PC,Din's Legacy,6.79,19.99,66.0,https://www.gog.com/en/game/dins_legacy,2019-08-28,40.0,"Action, Role-playing, Fantasy",
gog,GOG,PC,Din's Legacy Demo,0.0,0.0,0.0,https://www.gog.com/en/game/dins_legacy_demo,2019-08-28,23.0,"Action, Role-playing, Fantasy",
gog,GOG,PC,Dink Smallwood HD,0.0,0.0,0.0,https://www.gog.com/en/game/dink_smallwood_hd,1997-01-01,,"Adventure, Role-playing, Fantasy",
gog,GOG,PC,Dino Crisis,9.99,9.99,0.0,https://www.gog.com/en/game/dino_crisis,2000-05-01,,"Action, Survival, Horror",
gog,GOG,PC,Dino Crisis 2,9.99,9.99,0.0,https://www.gog.com/en/game/dino_crisis_2,2002-03-01,,"Action, Survival, Horror",
gog,GOG,PC,Dino Crisis Bundle,16.99,16.99,0.0,https://www.gog.com/en/game/dino_crisis_bundle,,,"Action, Survival, Horror",
gog,GOG,PC,Diplomacy is Not an Option,29.99,29.99,0.0,https://www.gog.com/en/game/diplomacy_is_not_an_option,2024-10-04,,"Strategy, Real-time, Historical",
gog,GOG,PC,Diplomacy is Not an Option - Soundtrack,2.99,2.99,0.0,https://www.gog.com/en/game/diplomacy_is_not_an_option_soundtrack,2024-05-17,,"Strategy, Real-time, Historical",
gog,GOG,PC,Diplomacy is Not an Option - Wallpapers,2.99,2.99,0.0,https://www.gog.com/en/game/diplomacy_is_not_an_option_wallpapers,2024-06-21,,"Strategy, Real-time, Historical",
gog,GOG,PC,Director of Football,2.49,9.99,75.0,https://www.gog.com/en/game/director_of_football,1999-12-31,,"Simulation, Action, Soccer",
gog,GOG,PC,Disaster Report 4: Summer Memories,59.99,59.99,0.0,https://www.gog.com/en/game/disaster_report_4_summer_memories,2020-04-07,29.0,"Adventure, Action, Survival",
gog,GOG,PC,Disaster Report 4: Summer Memories - Costume Bundle,11.34,11.34,0.0,https://www.gog.com/en/game/disaster_report_4_summer_memories_costume_bundle,2020-04-07,10.0,"Adventure, Action, Survival",
gog,GOG,PC,Disaster Report 4: Summer Memories Demo,0.0,0.0,0.0,https://www.gog.com/en/game/disaster_report_4_summer_memories_demo,2020-04-07,27.0,"Adventure, Action, Survival",
gog,GOG,PC,Disaster Report 4: Summer Memories Digital Limited Edition,69.29,69.29,0.0,https://www.gog.com/en/game/disaster_report_4_summer_memories_digital_limited_edition,2020-04-07,36.0,"Adventure, Action, Survival",
gog,GOG,PC,Disc Room,3.74,14.99,75.0,https://www.gog.com/en/game/disc_room,2020-10-22,,"Action, Adventure, Survival",
gog,GOG,PC,Disciples 2 Gold,1.99,9.99,80.0,https://www.gog.com/en/game/disciples_2_gold,2005-02-03,45.0,"Strategy, Turn-based, Fantasy",
gog,GOG,PC,Disciples: Liberation - GOG Edition,29.69,54.99,46.0,https://www.gog.com/en/game/disciples_liberation_gog_edition,2022-09-14,,"Role-playing, Adventure, Fantasy",
gog,GOG,PC,Disciples: Sacred Lands Gold,5.99,5.99,0.0,https://www.gog.com/en/game/disciples_sacred_lands_gold,2001-02-25,42.0,"Strategy, Turn-based, Fantasy",
gog,GOG,PC,Disco Elysium - Soundtrack and Artbooklet,19.99,19.99,0.0,https://www.gog.com/en/game/disco_elysium_soundtrack_and_artbooklet,2019-12-23,,"Role-playing, Turn-based, Fantasy",
gog,GOG,PC,Disco Elysium - The Final Cut,39.99,39.99,0.0,https://www.gog.com/en/game/disco_elysium,2019-10-15,46.0,"Role-playing, Turn-based, Fantasy",
gog,GOG,PC,Disco Elysium - The Final Cut Bundle,53.98,53.98,0.0,https://www.gog.com/en/game/disco_elysium_the_final_cut_bundle,2019-10-15,,"Role-playing, Turn-based, Fantasy",
gog,GOG,PC,Disco Elysium - The Final Cut Soundtrack,14.99,14.99,0.0,https://www.gog.com/en/game/disco_elysium_the_final_cut_soundtrack,2020-02-11,,"Role-playing, Turn-based, Fantasy",
gog,GOG,PC,Discounty,15.99,19.99,20.0,https://www.gog.com/en/game/discounty,2025-08-21,,"Simulation, Role-playing, Managerial",
gog,GOG,PC,Discounty - Supporter Pack,4.99,4.99,0.0,https://www.gog.com/en/game/discounty_supporter_pack,2025-08-21,,"Simulation, Role-playing, Managerial",
gog,GOG,PC,Discounty - The Original Soundtrack,4.99,4.99,0.0,https://www.gog.com/en/game/discounty_the_original_soundtrack,2025-08-21,,"Simulation, Role-playing, Managerial",
gog,GOG,PC,Discoveries of the Deep,6.99,6.99,0.0,https://www.gog.com/en/game/discoveries_of_the_deep,1993-01-01,,"Simulation, Adventure",
gog,GOG,PC,Dishonored - Definitive Edition,19.99,19.99,0.0,https://www.gog.com/en/game/dishonored_definitive_edition,2012-10-12,47.0,"Action, FPP, Stealth",
gog,GOG,PC,Dishonored 2,29.99,29.99,0.0,https://www.gog.com/en/game/dishonored_2,2016-11-11,44.0,"Action, FPP, Stealth",
gog,GOG,PC,Dishonored: Complete Collection,79.99,79.99,0.0,https://www.gog.com/en/game/dishonored_complete_collection,2017-09-15,47.0,"Action, FPP, Stealth",
gog,GOG,PC,Dishonored®: Death of the Outsider™,29.99,29.99,0.0,https://www.gog.com/en/game/dishonored_death_of_the_outsider,2017-09-15,39.0,"Action, FPP, Stealth",
gog,GOG,PC,Disjunction,1.59,15.99,90.0,https://www.gog.com/en/game/disjunction,2021-01-28,,"Action, Role-playing, Stealth",
gog,GOG,PC,Disjunction Demo,0.0,0.0,0.0,https://www.gog.com/en/game/disjunction_demo,2021-01-28,,"Action, Role-playing, Stealth",
gog,GOG,PC,Disjunction Game + Soundtrack bundle,1.99,19.98,90.0,https://www.gog.com/en/game/disjunction_game_soundtrack_bundle,2021-01-28,,"Action, Role-playing, Stealth",
gog,GOG,PC,Disjunction Soundtrack,1.99,3.99,50.0,https://www.gog.com/en/game/disjunction_soundtrack,2021-01-28,,"Action, Role-playing, Stealth",
gog,GOG,PC,Disney Classic Games Collection,29.98,29.98,0.0,https://www.gog.com/en/game/disney_classic_games_collection,2021-11-23,,"Action, Arcade, Platformer",
gog,GOG,PC,Disney Epic Mickey: Rebrushed,59.99,59.99,0.0,https://www.gog.com/en/game/disney_epic_mickey_rebrushed,2024-09-24,,"Adventure, Puzzle, Platformer",
gog,GOG,PC,Disney Epic Mickey: Rebrushed - Costume Pack,4.99,4.99,0.0,https://www.gog.com/en/game/disney_epic_mickey_rebrushed_costume_pack,2024-09-24,,"Adventure, Puzzle, Platformer",
gog,GOG,PC,Disney Illusion Island Starring Mickey and Friends,29.99,29.99,0.0,https://www.gog.com/en/game/disney_illusion_island_starring_mickey_and_friends,2025-05-30,,"Adventure, Action, Platformer",
