store,title,platform,price,release_date
epic_games_store,Adios,PC,5.15,2021-06-29
epic_games_store,Icewind Dale: Enhanced Edition,PC,5.63,2021-09-28
epic_games_store,Out of Line,PC,3.71,2021-06-23
epic_games_store,TOEM,PC,5.63,2021-09-17
epic_games_store,Wheels of Aurelia,PC,4.19,2020-04-16
epic_games_store,Legend Of Grimrock 2,PC,8.51,2021-10-25
epic_games_store,The End is Nigh,PC,5.35,2017-07-12
epic_games_store,Thimbleweed Park,PC,7.14,2017-03-30
epic_games_store,Oxenfree,PC,3.56,2019-01-15
epic_games_store,Baldur's Gate II: Enhanced Edition,PC,5.63,2021-09-28
epic_games_store,Dishonored - Definitive Edition,PC,11.99,2021-09-09
epic_games_store,Journey,PC,5.35,2019-06-06
epic_games_store,Among the Sleep - Enhanced Edition,PC,4.79,2021-10-21
epic_games_store,For The King,PC,6.25,2020-04-23
epic_games_store,Hue,PC,4.19,2020-07-02
epic_games_store,Hamsterdam,PC,1.43,2021-09-09
epic_games_store,Teamfight Tactics,PC,0.0,2021-11-04
epic_games_store,The Wolf Among Us,PC,5.35,2019-12-01
epic_games_store,League of Legends,PC,0.0,2021-11-04
epic_games_store,Dread Nautical,PC,7.14,2020-04-29
epic_games_store,Black Widow: Recharged,PC,2.87,2021-10-28
epic_games_store,Going Under,PC,6.25,2020-09-29
epic_games_store,Centipede: Recharged,PC,2.87,2021-09-29
epic_games_store,Dreamscaper,PC,7.07,2021-08-05
epic_games_store,Narita Boy,PC,7.07,2021-03-30
epic_games_store,Shadow Complex Remastered,PC,6.25,2009-08-19
epic_games_store,Hammerting,PC,7.86,2020-10-27
epic_games_store,The Last Friend,PC,4.19,2021-09-30
epic_games_store,Songs for a Hero - Definitive Edition,PC,3.95,2021-07-08
epic_games_store,Void Tyrant,PC,2.87,2021-10-11
epic_games_store,Ageless,PC,5.5,2020-07-29
epic_games_store,Jetboard Joust,PC,2.87,2021-08-20
epic_games_store,Aground,PC,4.19,2021-02-11
epic_games_store,Gone Viral,PC,5.63,2021-11-01
epic_games_store,The Darkside Detective: A Fumble in the Dark,PC,3.71,2021-11-01
epic_games_store,Oddworld: New 'n' Tasty,PC,5.63,2020-12-18
epic_games_store,Sheltered,PC,5.51,2021-09-09
epic_games_store,The Stanley Parable,PC,5.35,2020-03-26
epic_games_store,Far Cry,PC,5.99,2020-08-18
epic_games_store,Anno 2070,PC,17.99,2021-03-03
epic_games_store,Tom Clancy's Splinter Cell Chaos Theory,PC,5.99,2021-03-30
epic_games_store,Sokobond,PC,2.87,2021-04-27
epic_games_store,Cave Story+,PC,4.19,2020-12-03
epic_games_store,Neon City Riders: Super-powered Edition,PC,4.19,2021-08-03
epic_games_store,Far Cry 2: Standard Edition,PC,5.99,2020-08-18
epic_games_store,Torchlight,PC,5.35,2020-02-26
epic_games_store,Shadowhand,PC,4.19,2021-02-05
epic_games_store,Scarlet Hood and the Wicked Wood,PC,5.51,2021-04-08
epic_games_store,The Fabled Woods,PC,4.19,2021-03-25
epic_games_store,Genesis Noir,PC,4.19,2021-03-26
epic_games_store,Sakuna: Of Rice and Ruin,PC,8.39,2021-06-23
epic_games_store,Siege Survival - Gloria Victis,PC,6.83,2021-05-18
epic_games_store,Warface,PC,0.0,2021-06-29
epic_games_store,Hellpoint,PC,9.95,2020-07-30
